Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Contract,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,Churn_Label,Customer_Value_Proxy_MYR,Churn_Probability,Customer_Segment,Priority_Score,Recommended_Action
Male,No,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,107.7,0.5437262357414449,Low Value + High Risk,58.55931558935361,Use low-cost retention action
Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,141.4,0.8461538461538461,Low Value + High Risk,119.64615384615385,Use low-cost retention action
Female,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,797.2,0.8461538461538461,Low Value + High Risk,674.5538461538462,Use low-cost retention action
Female,No,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,2934.4,0.07692307692307693,High Value + Low Risk,225.72307692307695,Maintain relationship
Male,No,No,Yes,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,5081.3,0.007067137809187279,High Value + Low Risk,35.91024734982332,Maintain relationship
Female,No,Yes,No,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,552.0,0.19444444444444445,Low Value + Low Risk,107.33333333333333,No immediate action
Male,Yes,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,39.65,0.5437262357414449,Low Value + High Risk,21.558745247148288,Use low-cost retention action
Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,20.15,0.35,Low Value + Low Risk,7.052499999999999,No immediate action
Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,4669.45,0.007067137809187279,High Value + Low Risk,32.999646643109536,Maintain relationship
Male,No,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,30.2,0.5437262357414449,Low Value + High Risk,16.420532319391633,Use low-cost retention action
Female,No,No,No,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1099.9,0.10276679841897234,Low Value + Low Risk,113.03320158102768,No immediate action
Male,No,No,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,348.5,0.8461538461538461,Low Value + High Risk,294.88461538461536,Use low-cost retention action
Male,No,No,Yes,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,3615.8999999999996,0.007067137809187279,High Value + Low Risk,25.55406360424028,Maintain relationship
Female,No,No,Yes,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1076.35,0.3333333333333333,Low Value + Low Risk,358.7833333333333,No immediate action
Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,161.3,0.8461538461538461,Low Value + High Risk,136.48461538461538,Use low-cost retention action
Female,No,No,Yes,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1486.5,0.3333333333333333,High Value + Low Risk,495.5,Maintain relationship
Female,Yes,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,645.2,0.22580645161290322,Low Value + Low Risk,145.69032258064516,No immediate action
Male,Yes,No,Yes,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1718.1000000000001,0.75,High Value + High Risk,1288.575,Prioritize retention offer
Female,No,No,Yes,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,849.6,0.3333333333333333,Low Value + Low Risk,283.2,No immediate action
Female,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,79.35,0.8461538461538461,Low Value + High Risk,67.14230769230768,Use low-cost retention action
Female,No,Yes,Yes,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,526.0500000000001,0.22580645161290322,Low Value + Low Risk,118.78548387096775,No immediate action
Female,No,No,Yes,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,947.4000000000001,0.3333333333333333,Low Value + Low Risk,315.8,No immediate action
Male,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,105.25,0.0711743772241993,Low Value + Low Risk,7.4911032028469755,No immediate action
Female,Yes,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,2462.5,0.07692307692307693,High Value + Low Risk,189.42307692307693,Maintain relationship
Male,No,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,7480.0,0.22826086956521738,High Value + Low Risk,1707.391304347826,Maintain relationship
Male,No,Yes,Yes,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,5321.25,0.007067137809187279,High Value + Low Risk,37.60600706713781,Maintain relationship
Female,Yes,Yes,Yes,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes,2830.5,0.007067137809187279,High Value + Low Risk,20.003533568904594,Maintain relationship
Female,No,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes,1002.5,0.22580645161290322,Low Value + Low Risk,226.3709677419355,No immediate action
Male,No,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,Yes,223.20000000000002,0.8461538461538461,Low Value + High Risk,188.8615384615385,Use low-cost retention action
Female,Yes,No,Yes,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,Yes,2107.35,0.07692307692307693,High Value + Low Risk,162.10384615384615,Maintain relationship
Female,No,Yes,No,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,Yes,1465.0,0.2679738562091503,High Value + Low Risk,392.58169934640523,Maintain relationship
Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,35.45,Yes,35.45,0.5437262357414449,Low Value + High Risk,19.27509505703422,Use low-cost retention action
Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,81.25,Yes,88.7,0.5437262357414449,Low Value + High Risk,48.22851711026616,Use low-cost retention action
Female,Yes,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,Yes,70.45,0.22580645161290322,Low Value + Low Risk,15.908064516129032,No immediate action
Female,No,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,Yes,569.2,0.38513513513513514,Low Value + Low Risk,219.21891891891894,No immediate action
Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,Yes,45.65,0.5437262357414449,Low Value + High Risk,24.821102661596957,Use low-cost retention action
Male,No,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,655.5,Yes,665.0,0.8461538461538461,Low Value + High Risk,562.6923076923077,Use low-cost retention action
Female,No,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,1592.35,Yes,1648.0,0.75,High Value + High Risk,1236.0,Prioritize retention offer
Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273.0,Yes,283.6,0.8461538461538461,Low Value + High Risk,239.9692307692308,Use low-cost retention action
Male,Yes,Yes,No,58,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,2651.2,Yes,2627.3999999999996,0.2679738562091503,High Value + Low Risk,704.0745098039215,Maintain relationship
Female,No,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,Yes,208.8,0.22580645161290322,Low Value + Low Risk,47.148387096774194,No immediate action
Female,No,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,Yes,5027.049999999999,0.32798165137614677,High Value + Low Risk,1648.7801605504583,Maintain relationship
Female,Yes,No,Yes,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,1145.7,Yes,1116.75,0.3333333333333333,Low Value + Low Risk,372.25,No immediate action
Female,Yes,No,Yes,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6,Yes,535.15,0.8461538461538461,Low Value + High Risk,452.8192307692307,Use low-cost retention action
Female,No,No,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95,Yes,29.95,0.5437262357414449,Low Value + High Risk,16.28460076045627,Use low-cost retention action
Male,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.5,662.65,Yes,676.0,0.8461538461538461,Low Value + High Risk,572.0,Use low-cost retention action
Female,No,No,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.25,1111.65,Yes,1030.25,0.3333333333333333,Low Value + Low Risk,343.41666666666663,No immediate action
Female,No,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,Yes,24.8,0.5437262357414449,Low Value + High Risk,13.484410646387833,Use low-cost retention action
Male,No,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.0,531.0,Yes,546.0,0.22580645161290322,Low Value + Low Risk,123.29032258064515,No immediate action
Male,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,79.9,Yes,79.9,0.8461538461538461,Low Value + High Risk,67.60769230769232,Use low-cost retention action
Female,No,No,Yes,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45,Yes,2025.3999999999999,0.75,High Value + High Risk,1519.05,Prioritize retention offer
Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46.0,84.5,Yes,92.0,0.5437262357414449,Low Value + High Risk,50.02281368821293,Use low-cost retention action
Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,268.35,Yes,280.6,0.8461538461538461,Low Value + High Risk,237.43076923076924,Use low-cost retention action
Male,No,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,179.35,Yes,200.2,0.19444444444444445,Low Value + Low Risk,38.92777777777778,No immediate action
Female,No,Yes,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.2,55.2,Yes,55.2,0.5437262357414449,Low Value + High Risk,30.013688212927757,Use low-cost retention action
